Gene stable ID,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000096666,100040786
ENSMUSG00000096666,108168565
ENSMUSG00000096666,108168575
ENSMUSG00000100373,
ENSMUSG00000102077,
ENSMUSG00000095302,70009
ENSMUSG00000095302,100861817
ENSMUSG00000095302,108168622
ENSMUSG00000100569,
ENSMUSG00000100809,
ENSMUSG00000099962,
ENSMUSG00000099457,108168591
ENSMUSG00000101313,
ENSMUSG00000100478,
ENSMUSG00000101083,
ENSMUSG00000102118,
ENSMUSG00000099716,
ENSMUSG00000101794,
ENSMUSG00000101529,
ENSMUSG00000099335,
ENSMUSG00000100897,
ENSMUSG00000099501,
ENSMUSG00000099991,
ENSMUSG00000101358,
ENSMUSG00000101816,
ENSMUSG00000096016,108168524
ENSMUSG00000096016,108168525
ENSMUSG00000096016,108168532
ENSMUSG00000096016,108168595
ENSMUSG00000101861,
ENSMUSG00000101598,
ENSMUSG00000104345,
ENSMUSG00000102772,
ENSMUSG00000103425,
ENSMUSG00000102486,
ENSMUSG00000103250,
ENSMUSG00000103077,
ENSMUSG00000103787,
ENSMUSG00000103987,
ENSMUSG00000103063,
ENSMUSG00000103954,
ENSMUSG00000103894,
ENSMUSG00000103795,
ENSMUSG00000103919,100861973
ENSMUSG00000103812,
ENSMUSG00000104259,
ENSMUSG00000102847,
ENSMUSG00000103773,
ENSMUSG00000104062,
ENSMUSG00000102318,
ENSMUSG00000104289,
ENSMUSG00000102730,
ENSMUSG00000102529,101055902
ENSMUSG00000103589,
ENSMUSG00000102396,
ENSMUSG00000104255,
ENSMUSG00000102598,
ENSMUSG00000103029,
ENSMUSG00000102239,
ENSMUSG00000103153,
ENSMUSG00000103086,
ENSMUSG00000103327,
ENSMUSG00000104500,
ENSMUSG00000047161,71367
ENSMUSG00000103236,
ENSMUSG00000102911,
ENSMUSG00000103008,
ENSMUSG00000103058,
ENSMUSG00000093868,100039614
ENSMUSG00000093868,108168580
ENSMUSG00000093868,108168583
ENSMUSG00000093868,108168584
ENSMUSG00000093868,108168585
ENSMUSG00000093868,108168586
ENSMUSG00000093868,108168602
ENSMUSG00000093868,108168603
ENSMUSG00000093868,108168604
ENSMUSG00000093868,108168605
ENSMUSG00000093868,108168606
ENSMUSG00000093868,108168607
ENSMUSG00000093868,108168610
ENSMUSG00000093868,108168611
ENSMUSG00000093868,108168666
ENSMUSG00000093868,108168667
